instrument_id,item_key,threat,brand_name,class,primary_use,anticholinergic_burden,examples,plastic_types,direct_cognitive_risks,indirect_cognitive_risks,mitigation_strategies,mechanisms,item_key_norm,item_key_trimmed,anticholinergic_burden_std
meds,acetaminophen,Acetaminophen,Tylenol,Analgesic,Pain/Fever,None,,,Minimal direct cognitive risk,Rare hepatotoxicity may indirectly affect cognition in severe cases,,,acetaminophen,acetaminophen,None
meds,alprazolam,Alprazolam,Xanax,Benzodiazepine,Anxiety,Low,,,"Memory impairment, slowed processing, increased dementia risk (esp. elderly)","Sedation, falls, delirium, respiratory depression",,,alprazolam,alprazolam,Low
meds,amitriptyline,Amitriptyline,Elavil,TCA Antidepressant,"Depression, pain",High,,,"Impaired memory, attention, increased dementia risk","Anticholinergic burden, orthostatic hypotension, cardiac arrhythmia",,,amitriptyline,amitriptyline,High
meds,benztropine,Benztropine,Cogentin,Antiparkinsonian,"Parkinson’s, EPS",High,,,"Significant cognitive impairment, confusion, delirium","Urinary retention, constipation, falls",,,benztropine,benztropine,High
meds,brompheniramine,Brompheniramine,Dimetapp,Antihistamine,Allergy,Moderate-High,,,"Cognitive slowing, confusion, delirium (esp. elderly)","Sedation, falls, anticholinergic side effects",,,brompheniramine,brompheniramine,High
meds,carbamazepine,Carbamazepine,Tegretol,Anticonvulsant,"Seizures, mood disorders",Low-Moderate,,,"Slowed processing, memory impairment, attention deficits","Hyponatremia, sedation, hepatic dysfunction",,,carbamazepine,carbamazepine,Moderate
meds,carisoprodol,Carisoprodol,Soma,Muscle relaxant,Muscle spasm,Low,,,"Drowsiness, confusion, impaired attention","Sedation, risk of abuse, falls",,,carisoprodol,carisoprodol,Low
meds,chlorpheniramine,Chlorpheniramine,Chlor-Trimeton,Antihistamine,Allergy,Moderate-High,,,"Cognitive impairment, delirium","Sedation, anticholinergic side effects",,,chlorpheniramine,chlorpheniramine,High
meds,chlorpromazine,Chlorpromazine,Thorazine,Antipsychotic,Psychosis,High,,,"Cognitive impairment, especially at higher doses","Extrapyramidal symptoms, metabolic syndrome, hypotension",,,chlorpromazine,chlorpromazine,High
meds,cimetidine,Cimetidine,Tagamet,H2 Blocker,"GERD, ulcers",Low-Moderate,,,"Rare confusion, especially in elderly or renal impairment","Endocrine disruption (gynecomastia), hepatic enzyme inhibition",,,cimetidine,cimetidine,Moderate
meds,citalopram,Citalopram,Celexa,SSRI Antidepressant,Depression,None,,,Mixed: possible mild impairment or neutral; some studies suggest faster decline in dementia,"Hyponatremia, QT prolongation, falls",,,citalopram,citalopram,None
meds,clemastine,Clemastine,Tavist,Antihistamine,Allergy,Moderate-High,,,"Cognitive impairment, confusion, delirium","Sedation, anticholinergic side effects",,,clemastine,clemastine,High
meds,clonazepam,Clonazepam,Klonopin,Benzodiazepine,"Anxiety, seizures",Low,,,"Memory impairment, slowed processing, increased dementia risk","Sedation, falls, respiratory depression",,,clonazepam,clonazepam,Low
meds,cyclobenzaprine,Cyclobenzaprine,Flexeril,Muscle relaxant,Muscle spasm,Moderate-High,,,"Drowsiness, confusion, impaired attention","Anticholinergic side effects, falls",,,cyclobenzaprine,cyclobenzaprine,High
meds,diazepam,Diazepam,Valium,Benzodiazepine,"Anxiety, muscle spasm",Low,,,"Memory impairment, slowed processing, increased dementia risk","Sedation, falls, respiratory depression",,,diazepam,diazepam,Low
meds,dimenhydrinate,Dimenhydrinate,Dramamine,Antihistamine,Motion sickness,Moderate-High,,,"Cognitive impairment, confusion, delirium","Sedation, anticholinergic side effects",,,dimenhydrinate,dimenhydrinate,High
meds,diphenhydramine,Diphenhydramine,Benadryl,Antihistamine,"Allergy, sleep aid",High,,,"Cognitive impairment, delirium, increased dementia risk","Sedation, falls, anticholinergic side effects",,,diphenhydramine,diphenhydramine,High
